#{"t_start": 1619670153.7459164, "env_id": null}
r,l,t
-1.293,4,2169.740922
-0.630167,3,2179.000934
-0.0455,1,2184.458918
-0.607333,3,2195.312925
-0.607667,3,2206.134924
-0.604667,3,2216.076916
-0.604333,3,2226.509943
-0.045333,1,2232.381915
-0.608,3,2242.216946
-0.0475,1,2247.810919
-0.047833,1,2252.841918
-0.605833,3,2263.452917
-0.204833,2,2271.655942
-0.219667,2,2279.042933
-0.607667,3,2289.385923
-0.0475,1,2295.045913
-0.6035,3,2304.941921
-0.627167,3,2314.563933
-0.6045,3,2326.006916
-0.045333,1,2331.948916
-0.604,3,2341.592914
-0.607,3,2352.387462
-0.2095,2,2361.128455
-0.220167,2,2368.444452
-0.6325,3,2378.300471
-0.2195,2,2386.407456
-0.607167,3,2397.379466
-0.624,3,2407.998461
-0.6065,3,2419.215472
-0.219,2,2427.920461
-0.218333,2,2436.52547
-0.220833,2,2444.305452
-0.2125,2,2451.710485
-0.6095,3,2462.420473
-0.045333,1,2468.349455
-0.619333,3,2477.956474
-0.236167,2,2486.000472
-0.045333,1,2491.502465
-0.0475,1,2497.252471
-0.220667,2,2504.571472
-0.619333,3,2514.729455
-0.218,2,2523.025471
-0.045333,1,2528.789455
-0.238,2,2536.347485
-0.6065,3,2547.948472
-0.605167,3,2558.760461
-1.316667,4,2570.246462
-0.5775,3,2581.020556
-0.212833,2,2589.150537
-0.045333,1,2594.525537
-0.0455,1,2599.984536
-0.219,2,2608.63753
-0.6195,3,2617.831537
-0.220667,2,2625.578556
-0.607667,3,2635.118548
-0.218667,2,2642.405527
-0.220167,2,2649.773528
-0.606333,3,2659.670537
-0.6045,3,2670.534534
-2.366667,5,2686.400536
-0.616667,3,2696.308531
-0.607667,3,2706.886529
-0.591333,3,2718.065528
-0.219,2,2726.100554
-0.6065,3,2737.22853
-0.045833,1,2742.325538
-0.218167,2,2750.748547
-0.0475,1,2756.391532
-0.220167,2,2763.918545
-0.220333,2,2772.385548
-0.626,3,2782.168537
-0.607167,3,2793.398536
-0.607667,3,2804.280525
-1.295,4,2816.064529
-0.047167,1,2822.081546
-0.0455,1,2827.66653
-0.2195,2,2835.402529
-0.6045,3,2845.825532
-0.608,3,2855.303547
-0.218667,2,2862.571529
-0.218667,2,2869.831536
-0.0455,1,2875.368546
-0.243167,2,2882.475529
-0.045333,1,2888.353546
-0.605833,3,2898.319527
-0.0455,1,2903.74356
-0.0475,1,2909.248559
-0.221,2,2916.111547
-1.293,4,2929.148528
