#{"t_start": 1619512427.5835776, "env_id": null}
r,l,t
-0.607667,3,12.848816
-0.045,1,18.168843
-0.046667,1,23.024839
-0.045,1,28.382834
-1.280833,4,40.631842
-0.045,1,45.963826
-0.204833,2,53.87382
-1.265,4,67.018843
-1.276167,4,78.455824
-0.6045,3,87.377842
-0.048167,1,92.831835
-0.046833,1,98.292843
-0.219167,2,105.464837
-0.2195,2,112.681816
-0.2195,2,119.871843
-0.204333,2,127.356834
-1.265667,4,141.186843
-0.203,2,149.564818
-0.0475,1,154.966825
-0.045333,1,160.899301
-0.233333,2,167.817282
-3.953833,6,183.110144
-0.217833,2,191.598165
-0.6065,3,202.205163
-0.044667,1,207.977165
-0.605667,3,217.380164
-1.299,4,229.489165
-0.2195,2,237.177155
-0.6045,3,247.428163
-0.045333,1,252.891157
-0.609167,3,263.169155
-0.045,1,268.644165
-0.582667,3,279.024164
-0.215,2,287.558177
-0.2195,2,295.760159
-0.045,1,300.750156
-0.046,1,306.643157
-0.209833,2,314.895155
-0.046333,1,320.736156
-0.045333,1,326.603157
-0.218333,2,334.517165
-0.231,2,340.944161
-0.6045,3,351.102159
-0.630167,3,360.806156
-0.218833,2,368.901166
-0.0455,1,373.840157
-0.044667,1,379.67416
-0.217333,2,386.824167
-0.219833,2,394.492157
-0.046,1,400.425159
-1.292667,4,414.052159
-0.046,1,419.951158
-0.629333,3,429.517189
-0.219,2,438.121175
-0.045333,1,444.079157
-0.2185,2,451.345171
-0.044833,1,456.704159
-1.275833,4,468.674156
-0.045,1,474.191156
-0.044667,1,480.012156
-0.046,1,485.826167
-1.287333,4,499.327159
-0.045,1,504.757164
-0.044667,1,510.512184
-0.223167,2,516.499166
-0.045167,1,522.328157
-0.046,1,528.215158
-0.048167,1,533.8742
-0.217667,2,541.620165
-0.220167,2,549.187183
-0.607,3,559.430165
-0.218333,2,567.141157
-0.2195,2,574.455157
-0.218333,2,582.195166
-0.217333,2,589.814165
-0.048167,1,595.310155
-0.212333,2,603.534168
-1.320667,4,613.612164
-2.3505,5,627.123154
-0.046333,1,632.999163
-0.632667,3,643.053155
-0.611,3,653.059155
-0.2195,2,661.754155
-0.045,1,667.201157
-0.218167,2,674.929159
-0.0475,1,680.463176
-0.2205,2,688.156157
-0.2195,2,695.952162
-1.267,4,708.384665
-0.217667,2,716.201673
-0.226,2,724.148675
-0.605,3,734.630666
-0.222667,2,742.274685
-0.045167,1,748.167685
-0.048,1,752.709673
-0.2195,2,760.83367
-0.046167,1,766.327666
-0.0455,1,771.787673
-0.627333,3,780.708685
-0.215167,2,788.310672
-0.045167,1,794.221669
-0.044667,1,800.039665
-1.308167,4,812.354665
-0.045,1,817.275665
-0.044833,1,822.611671
-0.218667,2,830.472665
-0.587333,3,839.861669
-0.218333,2,848.528668
-1.314667,4,860.870663
-0.624667,3,870.41267
-0.047167,1,876.375667
-0.217,2,884.527668
-0.218333,2,892.169666
-0.047333,1,896.639664
-0.603167,3,906.071667
-1.298833,4,916.879666
-0.046667,1,922.794664
-0.048167,1,928.390205
-0.6285,3,938.773199
-1.318,4,952.412198
-1.299167,4,965.415215
-0.220667,2,972.211201
-0.217667,2,979.177201
-0.047833,1,985.247204
-0.044667,1,991.018205
-2.37,5,1003.970206
-0.044667,1,1009.922215
-0.047333,1,1015.158206
-1.317167,4,1027.647195
-1.281833,4,1040.233224
-0.049167,1,1045.479216
-1.291667,4,1059.067199
-0.045,1,1064.526215
-0.044833,1,1069.909214
-1.341167,4,1082.404205
-1.234333,4,1094.676203
-0.218333,2,1101.918202
-0.047,1,1107.406199
-0.607,3,1117.714208
-0.047333,1,1122.793201
-0.2185,2,1130.360208
-1.300167,4,1141.697199
-0.044833,1,1147.130195
-0.044667,1,1152.969196
-1.238667,4,1165.583195
-0.045,1,1171.058198
-0.0455,1,1176.030195
-0.6285,3,1185.036104
-0.045333,1,1190.956116
-1.284167,4,1203.028119
-0.223333,2,1210.332105
-0.046,1,1216.31312
-1.297167,4,1229.010117
-0.628833,3,1239.163116
-0.218167,2,1247.346248
-0.220333,2,1255.54513
-0.219167,2,1263.778099
-0.044667,1,1269.674105
-1.293167,4,1282.347108
-0.2165,2,1290.49211
-0.046,1,1296.464303
-0.2425,2,1302.994322
-1.262333,4,1316.668322
-1.286833,4,1329.639307
-1.2935,4,1341.888309
-0.218333,2,1349.313312
-0.2215,2,1356.642311
-0.048,1,1361.222305
-0.620333,3,1370.891316
-0.219833,2,1378.179318
-0.046167,1,1383.603311
-0.044833,1,1389.011311
-0.044667,1,1394.846311
-0.044833,1,1400.163311
-0.616167,3,1411.004311
-0.219833,2,1417.760314
-0.220167,2,1424.944323
-0.2215,2,1432.3644
-0.045,1,1437.710306
-0.629667,3,1447.298321
-0.047333,1,1452.350322
-0.2215,2,1459.675321
-0.217333,2,1467.368306
-0.044667,1,1473.268322
-0.044833,1,1478.626312
-0.219,2,1486.731307
-0.221167,2,1494.526323
-1.286333,4,1507.475323
-1.297667,4,1521.34231
-0.045,1,1526.357304
-0.046167,1,1531.809314
-0.045167,1,1536.899312
-0.217167,2,1544.845307
-0.045333,1,1550.751322
-1.293333,4,1563.423312
-0.204833,2,1571.220303
-0.605167,3,1581.317322
-0.045,1,1586.466312
-0.219833,2,1594.964306
-0.047,1,1600.612313
-0.047833,1,1606.808311
-0.218,2,1614.194321
-0.045333,1,1619.690322
-1.3055,4,1630.288311
-0.218167,2,1638.086303
-0.605167,3,1649.371322
-0.046167,1,1654.865304
-0.044833,1,1660.230323
-0.045,1,1665.645318
-0.045,1,1671.112309
-0.045333,1,1677.018305
-0.217667,2,1685.101307
-0.044833,1,1690.575303
-0.047833,1,1695.618782
-0.044667,1,1701.415787
-0.629,3,1712.234794
-0.045,1,1717.081778
-0.6065,3,1727.324774
-0.607667,3,1738.042775
-0.219833,2,1745.725774
-0.218833,2,1753.393047
-0.044833,1,1758.812028
-0.599167,3,1769.10703
-0.212333,2,1777.387031
-1.310833,4,1790.259027
-1.299667,4,1802.618032
-0.045167,1,1808.408041
-0.624667,3,1818.18803
-0.2095,2,1826.377035
-1.265167,4,1838.82503
-0.044667,1,1844.69305
-0.044667,1,1850.444034
-0.602667,3,1860.215031
-0.046833,1,1865.740047
-0.2195,2,1873.47203
-0.595167,3,1883.302037
-0.234667,2,1890.745046
-0.205,2,1898.47903
-1.298333,4,1909.647033
-0.218333,2,1918.123031
-0.232333,2,1925.590049
-0.2195,2,1933.799057
-0.2195,2,1941.00105
-0.2205,2,1949.15705
-0.044667,1,1955.035033
-0.0455,1,1960.48803
-0.600833,3,1970.17606
-0.219667,2,1978.513027
-0.047833,1,1983.563038
-0.044667,1,1989.377029
-0.6045,3,1999.248029
-2.3725,5,2011.258031
-0.217667,2,2019.284049
-0.047167,1,2025.290049
-0.046167,1,2030.71603
-0.6045,3,2041.469047
-0.046,1,2047.441031
-0.218833,2,2055.43303
-0.211667,2,2064.077038
-1.293167,4,2077.547048
-0.045167,1,2083.542031
-0.217667,2,2091.543047
-0.219667,2,2099.93103
-0.631167,3,2109.650033
-0.048,1,2114.396031
-0.044667,1,2120.29604
-0.2185,2,2128.97503
-0.605167,3,2140.050037
-0.044833,1,2145.411237
-0.608,3,2155.202036
-0.046,1,2161.213032
-0.045,1,2166.612049
-0.219,2,2174.7791
-0.045,1,2180.311047
-0.218,2,2186.751029
-0.588167,3,2196.803034
-1.284833,4,2207.183029
-1.284,4,2221.169048
-0.218333,2,2229.770033
-1.265167,4,2240.84803
-0.044667,1,2246.665039
-0.045667,1,2251.575047
-0.045,1,2256.630042
-0.219667,2,2264.479029
-0.044667,1,2270.275048
-0.613167,3,2280.644059
-1.2985,4,2293.546056
-0.2215,2,2300.93603
-1.308667,4,2313.638031
-0.6065,3,2322.64012
-0.607667,3,2332.425047
-0.218333,2,2340.114032
-1.2865,4,2352.671059
-0.22,2,2359.879036
-0.044667,1,2365.74503
-0.218167,2,2373.842036
-0.044667,1,2379.751027
-0.046833,1,2385.218031
-0.219833,2,2392.041029
-1.316167,4,2405.211048
-0.219667,2,2413.356047
-0.217667,2,2421.042027
-0.245667,2,2428.679027
-1.293667,4,2439.13203
-2.338833,5,2453.463031
-0.045833,1,2458.433035
-0.607,3,2468.444047
-0.046667,1,2473.521031
-0.238333,2,2480.86303
-1.280667,4,2493.531029
-0.217667,2,2501.721065
-0.046333,1,2507.651067
-1.3205,4,2519.467067
-1.282167,4,2532.019067
-1.285667,4,2544.953068
-0.219667,2,2553.113072
-0.2195,2,2561.28107
-1.245,4,2574.112076
-0.046333,1,2580.133071
-0.047833,1,2586.060064
-0.219667,2,2594.635099
-0.045,1,2600.132067
-0.046333,1,2606.081064
-0.1995,2,2613.962085
-0.2215,2,2621.308079
-1.297167,4,2633.394065
-0.217333,2,2640.724064
-0.212167,2,2648.37107
-0.045333,1,2653.687095
-0.219,2,2661.387073
-0.046,1,2667.352067
-0.218333,2,2675.873094
-0.220167,2,2683.741071
-0.0455,1,2689.204073
-0.220167,2,2696.443067
-1.326167,4,2707.755064
-0.218333,2,2716.396064
-1.317667,4,2728.679077
-0.217667,2,2736.262067
-0.044833,1,2741.672065
-0.624167,3,2750.754069
-1.305833,4,2762.813067
-0.047333,1,2767.892064
-0.046667,1,2773.838087
-0.228,2,2780.638064
-0.044667,1,2786.569071
-1.2395,4,2798.753074
-0.045,1,2803.648094
-0.219833,2,2811.318076
-0.604167,3,2820.309068
-0.045,1,2825.764066
-0.046167,1,2831.395067
-0.219833,2,2838.733075
-0.045,1,2844.271068
-0.226833,2,2852.446065
-0.209,2,2861.161073
-1.286,4,2872.51207
-0.044667,1,2878.414068
-0.603,3,2888.756087
-0.6065,3,2898.879064
-0.045333,1,2904.271074
-0.217833,2,2912.471066
-0.0475,1,2917.973065
-0.045,1,2923.015064
-0.047167,1,2928.919071
-0.220667,2,2935.286071
-0.215833,2,2942.983079
-0.605833,3,2952.819067
-1.298667,4,2964.536067
-2.283833,5,2979.598092
-0.2205,2,2987.557071
-0.615167,3,2997.581068
-0.6065,3,3007.403073
-1.301167,4,3019.599064
-1.296167,4,3032.531068
-0.045,1,3037.918084
-0.606333,3,3048.344068
-1.280667,4,3061.376076
-0.605833,3,3071.264065
-0.047333,1,3076.427073
-0.045,1,3081.830068
-0.045,1,3087.230075
-0.045167,1,3093.139067
-0.2115,2,3101.228115
-0.220667,2,3108.613096
-0.045333,1,3114.524115
-0.219,2,3121.894117
-0.046333,1,3127.789097
-0.6065,3,3138.528106
-0.2195,2,3146.319096
-0.217,2,3154.021101
-1.2945,4,3166.623096
-0.217,2,3174.728104
-0.213167,2,3181.7531
-0.2195,2,3189.963097
-0.217833,2,3197.974115
-0.045333,1,3203.823099
-1.300167,4,3216.421098
-0.217667,2,3225.004105
-0.045,1,3230.439099
-1.290167,4,3242.740118
-0.582,3,3253.528118
-0.044667,1,3259.407098
-0.046167,1,3264.833094
-0.606167,3,3274.890095
-1.332,4,3287.114107
-0.0485,1,3292.149096
-0.607667,3,3301.860098
-0.044833,1,3307.2451
-0.606,3,3316.279107
-0.045,1,3321.702096
-1.289333,4,3335.030102
-0.044667,1,3340.865096
-0.217667,2,3349.028096
-0.605,3,3360.011107
-0.0455,1,3365.397133
-0.603167,3,3374.925132
-0.205,2,3383.069138
-0.6285,3,3394.05713
-0.608,3,3404.512138
-2.371,5,3418.008137
-0.046,1,3423.939131
-2.283333,5,3437.90314
-0.218167,2,3445.620131
-1.306833,4,3457.320131
-0.048167,1,3462.911128
-0.219,2,3471.53113
-0.220333,2,3479.307131
-0.218333,2,3487.525132
-0.044667,1,3493.389127
-0.045167,1,3498.402129
-0.048167,1,3504.020256
-0.0475,1,3509.511137
-0.045,1,3514.938138
-0.604333,3,3525.30613
-0.047833,1,3530.422131
-0.218833,2,3538.550131
-0.2195,2,3546.718129
-0.217667,2,3554.401148
-0.623667,3,3564.086147
-0.045167,1,3570.017127
-0.044667,1,3575.807127
-1.246833,4,3588.032147
-1.299,4,3601.051137
-0.044667,1,3606.873131
-0.221333,2,3614.572131
-1.28,4,3627.859132
-0.044667,1,3633.65314
-0.049167,1,3638.789134
-0.045333,1,3644.319149
-0.605167,3,3655.266147
-0.047333,1,3660.363131
-0.045333,1,3665.920128
-0.047167,1,3671.88213
-0.045,1,3677.322149
-0.619833,3,3687.937134
-1.283167,4,3701.143131
-0.219,2,3709.67513
-0.218833,2,3717.346147
-0.205167,2,3724.746135
-0.212833,2,3732.010138
-0.604833,3,3742.057134
-0.044667,1,3747.913128
-1.291,4,3760.589134
-0.2195,2,3767.882147
-0.045167,1,3773.775126
-0.215333,2,3780.564147
-0.045,1,3785.937157
-1.315,4,3799.581131
-0.587833,3,3810.279131
-0.219,2,3817.918147
-0.218333,2,3826.01613
-1.313167,4,3839.526128
-0.620333,3,3849.60013
-0.219167,2,3856.935131
-0.045,1,3861.837137
-0.607333,3,3873.110129
-0.2195,2,3880.744157
-0.045,1,3886.16313
-1.3095,4,3899.382141
-0.046833,1,3904.960129
-1.279,4,3917.884147
-0.217167,2,3925.982138
-0.046167,1,3931.545128
-0.605,3,3941.012136
-0.217667,2,3948.61513
-0.044667,1,3954.515147
-0.045167,1,3960.357136
-0.045333,1,3964.867127
-1.293333,4,3976.65613
-0.046,1,3982.58013
-0.046,1,3988.495128
-0.047833,1,3994.511141
-0.045333,1,3999.900126
-0.044833,1,4005.681138
-0.044833,1,4011.061127
-0.631167,3,4020.69513
-0.215167,2,4027.767137
-0.045,1,4033.279131
-0.217667,2,4041.88913
-0.045333,1,4046.432138
-0.045,1,4051.900127
-0.246,2,4058.985132
-1.316167,4,4071.10013
-1.291833,4,4083.913127
-1.3185,4,4095.663127
-0.219,2,4103.616147
-2.394167,5,4117.410128
-2.3255,5,4131.395148
-0.236667,2,4138.865147
-0.219833,2,4145.703129
-0.045333,1,4151.03716
-0.218167,2,4159.239128
-0.044833,1,4164.626175
-0.604833,3,4174.053133
-0.216833,2,4181.737129
-0.6125,3,4191.305128
-0.209833,2,4199.261148
-0.045333,1,4204.841149
-0.606167,3,4214.914147
-1.2855,4,4227.362127
-0.218333,2,4236.000149
-0.222,2,4243.263157
-0.630167,3,4253.850161
-0.045,1,4259.253134
-0.044833,1,4264.637131
-0.044667,1,4270.477144
-0.044667,1,4276.336138
-0.2195,2,4284.039137
-0.218333,2,4292.179127
-0.045333,1,4298.116132
-2.348,5,4313.260127
-0.047,1,4318.714127
-1.31,4,4331.43714
-0.045333,1,4337.26214
-0.2195,2,4345.31913
-0.2215,2,4353.117151
-1.288167,4,4364.703128
-0.2165,2,4371.988139
-0.218833,2,4379.678148
-1.273167,4,4392.122091
-0.609,3,4402.611093
-0.617,3,4412.540105
-0.0455,1,4418.031092
-0.2195,2,4425.851092
-0.045,1,4431.216098
-0.607333,3,4440.323095
-0.605167,3,4451.404092
-0.047167,1,4456.418091
-0.6065,3,4465.8581
-0.219167,2,4473.556091
-0.616,3,4483.6391
-0.601333,3,4494.386092
-0.045333,1,4499.851096
-2.331,5,4513.753092
-0.219833,2,4521.396092
-0.617833,3,4531.001091
-0.618,3,4541.120095
-2.389667,5,4556.523099
-0.620667,3,4566.380094
-0.212333,2,4574.948096
-0.204333,2,4582.981091
-0.044667,1,4588.843101
-0.219833,2,4596.650093
-0.047,1,4602.279093
-0.219667,2,4610.131336
-0.045333,1,4615.550342
-0.0475,1,4621.159347
-1.353333,4,4632.766342
-0.218833,2,4640.939336
-0.218333,2,4648.760354
-0.2195,2,4656.925345
-0.044667,1,4662.724348
-0.046167,1,4668.350341
-0.045,1,4673.819359
-0.0485,1,4678.942337
-0.044667,1,4684.737336
-0.219167,2,4692.917338
-2.372167,5,4706.630338
-0.047333,1,4711.857337
-0.044667,1,4717.747339
-0.22,2,4724.942365
-0.2155,2,4732.182343
-0.047333,1,4737.284337
-0.045,1,4742.254338
-0.626833,3,4751.574004
-0.044833,1,4756.984003
-1.3145,4,4769.703003
-0.0455,1,4775.268003
-0.613833,3,4785.777033
-0.205667,2,4794.388007
-1.274833,4,4807.202015
-0.219,2,4814.886023
-0.046667,1,4820.852004
-0.218333,2,4829.595007
-0.2185,2,4837.194003
-0.204833,2,4844.679023
-0.045333,1,4850.586013
-0.044833,1,4855.927014
-1.280833,4,4868.356012
-0.044667,1,4874.341006
-0.218333,2,4882.506004
-0.044667,1,4888.334012
-0.219,2,4896.999107
-0.207667,2,4905.321104
-0.218833,2,4913.466116
-1.300667,4,4926.256105
-0.045,1,4931.722105
-0.218333,2,4940.210108
-1.283667,4,4952.237106
-0.218167,2,4960.412114
-0.2195,2,4968.667108
-0.218333,2,4977.272104
-0.044667,1,4983.113102
-0.218667,2,4990.36212
-0.044667,1,4996.208112
-0.048167,1,5001.805107
-0.045333,1,5007.312113
