#{"t_start": 1619579352.0498183, "env_id": null}
r,l,t
-0.044833,1,1999.136162
-0.044833,1,2004.556154
-0.629167,3,2014.599163
-0.047667,1,2019.616159
-0.217667,2,2027.77016
-0.218333,2,2035.454155
-1.2835,4,2046.922154
-0.044667,1,2052.771183
-0.0475,1,2058.256803
-0.220833,2,2066.846785
-0.045,1,2072.279847
-2.382833,5,2085.323793
-0.046,1,2091.179803
-0.045333,1,2096.607794
-0.044833,1,2101.91381
-1.289333,4,2114.631813
-0.220167,2,2122.370812
-0.044667,1,2128.160816
-0.215167,2,2136.216805
-0.218833,2,2143.885791
-0.218333,2,2152.043813
-0.219,2,2159.763785
-0.605667,3,2170.103791
-0.047333,1,2175.101861
-0.044833,1,2180.470861
-0.044667,1,2186.433859
-0.618667,3,2197.003858
-2.350833,5,2212.182865
-3.757,6,2229.040874
-0.6005,3,2237.449877
-0.045333,1,2243.361823
-2.437167,5,2257.282829
-0.047833,1,2262.261272
-0.6285,3,2273.204295
-0.2195,2,2280.820267
-0.218,2,2288.050266
-0.629833,3,2298.691272
-0.608,3,2307.510297
-0.044833,1,2312.784268
-0.619167,3,2323.343282
-1.288333,4,2337.119262
-0.608,3,2346.597262
-0.045,1,2352.102266
-0.221167,2,2360.130274
-0.2195,2,2367.686291
-0.214833,2,2375.356263
-0.046833,1,2380.690292
-0.0475,1,2386.131284
-0.045333,1,2391.98407
-0.047167,1,2396.991068
-0.605,3,2407.195068
-0.218833,2,2415.32707
-0.047,1,2420.797069
-0.602167,3,2431.097066
-0.617667,3,2441.752071
-0.2085,2,2450.176097
-1.285333,4,2462.232067
-0.044667,1,2468.007068
-0.045333,1,2473.350072
-0.2195,2,2480.972058
-2.386667,5,2493.897052
-0.606667,3,2502.406086
-0.0455,1,2507.844054
-1.2955,4,2520.567086
-1.2885,4,2532.442058
-0.219,2,2540.918059
-0.606667,3,2550.722052
-1.290333,4,2562.613056
-0.217,2,2570.571062
-0.045333,1,2576.365064
-0.601667,3,2586.197063
-0.219833,2,2594.272052
-0.0475,1,2599.622072
-0.6065,3,2609.808065
-0.216167,2,2616.951055
-0.204167,2,2624.484097
-0.045333,1,2630.310091
-0.046,1,2636.103122
-0.218833,2,2643.689093
-0.219,2,2651.852093
-0.607,3,2661.065098
-0.616,3,2670.91012
-0.218333,2,2679.389093
-0.2265,2,2687.108089
-0.623667,3,2698.05074
-1.325,4,2709.736745
-0.046,1,2715.585237
-0.047833,1,2721.526256
-0.221167,2,2729.716263
-0.615833,3,2739.146263
-0.2195,2,2745.913274
-1.331833,4,2758.685278
-0.627167,3,2767.826259
-0.048167,1,2773.388294
-0.603333,3,2781.805311
-0.045167,1,2787.608312
-0.045,1,2792.818294
-0.044667,1,2799.818319
-1.319333,4,2813.271032
-0.215833,2,2821.50105
-0.045,1,2827.019037
-0.5915,3,2836.835032
-0.219,2,2844.970031
-0.619833,3,2855.097204
-1.289833,4,2867.696038
-0.583167,3,2878.601033
-0.624333,3,2888.652051
-0.047167,1,2894.609051
-0.219167,2,2902.289055
-0.583,3,2911.533052
-0.606333,3,2921.213057
-0.047333,1,2926.299051
-0.219833,2,2934.040053
-0.220333,2,2941.723056
-0.218333,2,2949.949071
-0.044833,1,2955.248059
-0.218333,2,2963.374053
-1.2875,4,2974.936057
-0.217833,2,2982.239052
-0.046833,1,2987.650053
-2.366333,5,3001.156058
-0.048167,1,3006.689071
-0.220167,2,3014.464055
-0.2195,2,3022.567061
-0.044667,1,3028.389058
-0.045,1,3033.894058
-0.570667,3,3044.128017
-0.226167,2,3052.357047
-3.827167,6,3067.674019
-1.322,4,3080.610014
-0.046333,1,3086.455021
-1.306333,4,3098.712021
-0.219667,2,3106.86859
-0.607667,3,3115.3396
-0.218833,2,3123.301583
-0.614,3,3132.81058
-1.295,4,3145.931583
-1.290667,4,3158.427591
-0.218,2,3166.00758
-0.045333,1,3171.8426
-0.045,1,3176.734602
-0.047833,1,3181.6646
-0.044667,1,3187.4626
-0.607667,3,3198.091581
-0.217667,2,3206.555741
-2.360667,5,3221.393744
-1.308333,4,3232.83374
-0.044667,1,3238.564754
-0.629,3,3247.69874
-1.299833,4,3258.096736
-0.605667,3,3267.078771
-0.046,1,3272.878767
-0.199667,2,3280.992738
-0.219,2,3289.221746
-0.224333,2,3295.89877
-0.603167,3,3305.279744
-0.204833,2,3312.705747
-0.047333,1,3318.132741
-0.6045,3,3328.407744
-0.607,3,3338.193769
-0.608167,3,3348.288745
-2.3645,5,3361.64275
-0.6195,3,3371.683738
-0.204167,2,3379.466288
-0.0475,1,3384.907301
-1.265167,4,3396.466291
-0.22,2,3403.504292
-1.282,4,3415.593054
-0.044833,1,3420.84106
-0.217667,2,3428.39204
-0.219,2,3436.880041
-0.2195,2,3444.925053
-0.214833,2,3452.876051
-0.045,1,3458.28305
-0.045,1,3463.591033
-1.319333,4,3476.175036
-0.5895,3,3486.317037
-1.287667,4,3499.762051
-0.044667,1,3505.509044
-0.044667,1,3511.313038
-0.2195,2,3519.001041
-0.2185,2,3525.580035
-0.219667,2,3533.678062
-0.218333,2,3541.673863
-0.219167,2,3549.214872
-0.612167,3,3558.640857
-0.2345,2,3565.892852
-0.0485,1,3570.870884
-0.218833,2,3578.515882
-0.218333,2,3586.936883
-0.6045,3,3597.124884
-0.219667,2,3604.706856
-0.047333,1,3610.188859
-0.220167,2,3618.812856
-0.598833,3,3629.391885
-0.5995,3,3639.554862
-0.2155,2,3648.036857
-0.2195,2,3654.822858
-0.221667,2,3662.394863
-0.046,1,3668.341882
-0.599,3,3678.601872
-0.206667,2,3684.860179
-0.046667,1,3690.009175
-1.284833,4,3702.338183
-0.219167,2,3709.650178
-0.047333,1,3714.818183
-0.045167,1,3720.714181
-0.217,2,3728.392787
-0.218833,2,3736.253803
-0.045333,1,3742.132801
-0.045333,1,3748.030787
-0.046,1,3754.009804
-1.325667,4,3765.532802
-0.218333,2,3774.137802
-0.046,1,3780.131801
-0.610833,3,3789.745802
-0.219667,2,3797.937806
-0.611,3,3808.339794
-0.045,1,3813.75681
-1.323667,4,3825.643785
-0.048167,1,3831.280786
-0.0485,1,3836.313802
-0.219,2,3844.899786
-0.628333,3,3854.702789
-0.593,3,3865.430793
-1.2915,4,3876.561743
-1.283333,4,3889.931718
-0.6045,3,3900.56473
-0.218333,2,3908.181725
-0.6325,3,3918.226715
-0.047833,1,3924.154742
-2.373167,5,3939.137709
-0.044667,1,3944.916716
-0.22,2,3951.62174
-0.045167,1,3957.508743
-0.045167,1,3962.46473
-0.605833,3,3973.590484
-0.044833,1,3979.050498
-0.217,2,3987.159499
-0.044667,1,3992.969499
-0.198333,2,4000.922481
-0.2165,2,4008.159489
-1.286667,4,4019.241482
-0.6045,3,4030.626477
-0.045,1,4036.105483
-0.2195,2,4044.013499
-2.3385,5,4058.209508
-0.214167,2,4066.281488
-0.219833,2,4074.020499
-1.288667,4,4085.280481
-0.217,2,4093.277499
-0.047,1,4098.75851
-0.046,1,4104.671508
-0.219,2,4113.265482
-0.226333,2,4120.578481
-0.0485,1,4125.679512
-1.298,4,4137.878492
-1.242667,4,4148.867512
-0.221333,2,4156.188483
-0.623833,3,4166.182509
-0.605833,3,4176.033498
-0.219833,2,4183.676487
-0.218,2,4190.387488
-0.218167,2,4198.558501
-0.216333,2,4206.528488
-1.305,4,4219.151509
-0.0455,1,4224.649509
-0.044667,1,4230.485498
-0.044833,1,4235.889508
-0.212333,2,4244.483501
-1.304,4,4257.361488
-0.045333,1,4261.748483
-0.046667,1,4266.845492
-0.045,1,4271.728499
-0.045,1,4277.1685
-0.608,3,4287.194499
-0.045333,1,4292.998488
-0.045667,1,4298.343483
-1.305667,4,4311.038508
-0.048167,1,4316.501501
-0.620833,3,4326.507499
-0.046,1,4332.413488
-1.307667,4,4344.943509
-0.044667,1,4350.721511
-0.205333,2,4357.891483
-0.218,2,4365.540479
-0.044667,1,4371.373481
-0.608,3,4381.755499
-0.046167,1,4387.109488
-0.218833,2,4395.230526
-0.607667,3,4405.075517
-0.045167,1,4410.868546
-0.587167,3,4421.962523
-1.284167,4,4434.004539
-0.0475,1,4439.48653
-0.580667,3,4448.720546
-0.2215,2,4456.064604
-0.044833,1,4461.445603
-0.218833,2,4469.504613
-0.236,2,4477.43661
-0.607667,3,4487.767601
-0.218333,2,4496.37361
-0.0455,1,4501.435603
-2.335,5,4515.974612
-0.624,3,4525.825621
-0.231833,2,4533.637627
-0.218833,2,4541.240646
-0.047833,1,4547.265627
-0.049333,1,4551.325626
-0.048167,1,4556.776627
-0.602667,3,4567.374628
-1.297167,4,4579.375625
-0.216333,2,4586.921632
-0.219833,2,4595.016629
-0.203333,2,4602.00563
-0.6255,3,4612.067632
-0.222,2,4618.420629
-0.045333,1,4624.281621
-0.218167,2,4632.408627
-2.3795,5,4645.997618
-1.310833,4,4657.324622
-0.607167,3,4666.394622
-0.220667,2,4674.614637
-1.281833,4,4685.20862
-0.045167,1,4690.997631
-0.2155,2,4698.655632
-0.218,2,4706.202647
-0.608,3,4715.780625
-1.283833,4,4725.975631
-0.2195,2,4734.077628
-0.046667,1,4739.958631
-0.047333,1,4745.082627
-0.2195,2,4752.72262
-1.297667,4,4765.687631
-0.044667,1,4771.453632
-0.623667,3,4781.968618
-0.046333,1,4787.905624
-0.217667,2,4796.470638
-0.044667,1,4802.243627
-0.6045,3,4812.602637
-1.295,4,4824.417619
-0.2365,2,4831.261622
-0.218333,2,4839.028718
-0.604667,3,4849.390715
-0.215167,2,4856.092736
-0.620333,3,4866.057731
-1.299,4,4878.176728
-0.218333,2,4886.704716
-0.046667,1,4891.694574
-0.606667,3,4901.544581
-0.217,2,4910.292584
-0.6325,3,4920.356587
-3.8805,6,4936.205581
-0.618333,3,4947.25259
-0.045,1,4952.637588
-0.044833,1,4957.9386
-0.044667,1,4963.84658
-0.612333,3,4974.556574
-0.047,1,4980.019586
-0.217667,2,4988.66059
-0.218833,2,4996.7296
-0.044833,1,5002.051582
-0.605833,3,5012.400584
-0.044667,1,5018.167586
-1.277833,4,5030.171587
-0.048167,1,5035.736585
-1.300667,4,5049.24458
-0.214833,2,5056.262605
-1.2995,4,5068.448575
-0.629,3,5078.962595
-0.607667,3,5088.83059
-0.047333,1,5093.828601
-0.044667,1,5099.662587
-0.044667,1,5105.516587
-0.2415,2,5112.080576
-0.216833,2,5119.72359
-0.220167,2,5127.394582
-1.293833,4,5139.03359
-1.271833,4,5151.890605
-1.2825,4,5164.006589
-0.217,2,5171.7456
-0.605167,3,5182.716237
-0.605833,3,5193.490237
-0.601667,3,5204.359233
-0.607667,3,5214.685218
-0.6045,3,5225.022369
-0.214333,2,5232.148368
-0.218167,2,5239.954357
-0.044833,1,5245.258347
-0.624333,3,5254.904358
-0.045333,1,5260.353352
-0.047,1,5265.820367
-0.617,3,5276.707353
-0.220333,2,5284.515368
-1.316167,4,5297.64337
-0.047833,1,5303.748357
-1.3085,4,5317.182351
-0.605833,3,5328.351345
-1.322333,4,5341.228347
-0.607667,3,5351.09334
-0.604333,3,5360.517357
-0.607667,3,5371.292357
-0.22,2,5378.949353
-0.607667,3,5388.402351
-0.045333,1,5394.298357
-0.047,1,5399.781352
-0.218333,2,5407.921348
-0.207667,2,5416.460582
-0.215833,2,5422.778582
-0.218333,2,5431.364582
-0.044833,1,5436.760579
